"Part";"Value";"Device";"Package";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MFG";"MFG_PN";"PART_TYPE";"PRICE";"TOLLERANCE";"VALUE";"VENDOR";"VENDOR_PART_NUMBER";
"RI";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"RO";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"SDIO";"TF-HOLDER";"TF-HOLDER";"TF-PULL";"TF / Micro SD socket is PUSH-PUSH type, the card can be pushed into and auto locked and pushed out by simply press the card.";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPER_2WAYT";"SJ_2";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO2_10X10_SILK";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"LOGO_NO_TRASHROHS";"LOGO_NO_TRASHROHS";"LOGO_ROHS_SYM";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"LOGO_NO_TRASHNO_TRASH";"LOGO_NO_TRASHNO_TRASH";"LOGO_ROHS_NO_TRASH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO2_10X10_SILK";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"LMR62421";"LMR62421";"SOT23-5";"";"";"dc/dc step up, 2.1A, 1.6mhz,  SOT-23-5";"SOT23-5";"http://www.digikey.com/product-detail/en/LMR62421XMFE%2FNOPB/LMR62421XMFE%2FNOPBCT-ND/2777085";"DIGIKEY";"LMR62421XMFE/NOPBCT-ND";"IC";"0.8";"";"";"TEXAS INSTRUMENTS";"LMR62421XMFE/NOPB";
"U3";"DS2431P";"DS2431P";"TSOC6";"1024-Bit EEPROM";"";"IC, 1024-Bit, 1-Wire EEPROM, TSOC6";"TSOC6";"http://www.digikey.com/product-detail/en/DS2431P%2BT%26R/DS2431P%2BT%26RCT-ND/3647900";"DIGIKEY";"DS2431P+T&RCT-ND";"IC";"0.98";"";"";"MAXIM";"DS2431P+T&R";
"X1";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"CON ffc smd, bottom contact 40pos, 0.50mm R/A";"FH12-40S-0.5SH";"http://www.digikey.com/product-detail/en/FH12-40S-0.5SH(55)/HFJ140CT-ND/1110388";"DIGIKEY";"HFJ140CT-ND";"";"";"";"";"HIROSE";"FH12-40S-0.5SH(55)";
